fiscal_year,ipca_annual_pct,price_index_2013,deflator_to_brl2013
1995,22.41,32.6190,3.065701
1996,9.56,35.7373,2.798194
1997,5.22,37.6028,2.659374
1998,1.65,38.2233,2.616207
1999,8.94,41.6404,2.401512
2000,5.97,44.1264,2.266219
2001,7.67,47.5109,2.104782
2002,12.53,53.4640,1.870418
2003,9.30,58.4361,1.711270
2004,7.60,62.8773,1.590400
2005,5.69,66.4550,1.504778
2006,3.14,68.5417,1.458966
2007,4.46,71.5986,1.396675
2008,5.90,75.8230,1.318862
2009,4.31,79.0909,1.264368
2010,5.91,83.7652,1.193813
2011,6.50,89.2099,1.120951
2012,5.84,94.4198,1.059100
2013,5.91,100.0000,1.000000
2014,6.41,106.4100,0.939761
2015,10.67,117.7639,0.849156
2016,6.29,125.1713,0.798905
2017,2.95,128.8639,0.776013
2018,3.75,133.6962,0.747964
2019,4.31,139.4586,0.717059
2020,4.52,145.7621,0.686049
2021,10.06,160.4257,0.623341
2022,5.79,169.7144,0.589225
2023,4.62,177.5552,0.563205
2024,4.83,186.1311,0.537256
2025,4.26,194.0603,0.515304
